"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 29 22:46:52 GMT 2020","Sun Nov 29 22:47:10 GMT 2020","18043","","","","","","2 Validate left menu -- @1.2 ",""
"passed","Sun Nov 29 22:47:54 GMT 2020","Sun Nov 29 22:48:10 GMT 2020","15873","","","","","","7 Validate search",""
"passed","Sun Nov 29 22:48:14 GMT 2020","Sun Nov 29 22:48:29 GMT 2020","15332","","","","","","6 Validate left menu -- @1.2 ",""
"passed","Sun Nov 29 22:46:44 GMT 2020","Sun Nov 29 22:46:52 GMT 2020","7352","","","","","","2 Validate left menu -- @1.1 ",""
"passed","Sun Nov 29 22:47:25 GMT 2020","Sun Nov 29 22:47:34 GMT 2020","8060","","","","","","Validate left menu -- @1.4 ",""
"passed","Sun Nov 29 22:49:21 GMT 2020","Sun Nov 29 22:49:23 GMT 2020","1246","","","","","","9 Validate left menu -- @1.5 ",""
"passed","Sun Nov 29 22:47:28 GMT 2020","Sun Nov 29 22:47:38 GMT 2020","10369","","","","","","3 Validate left menu -- @1.1 ",""
"passed","Sun Nov 29 22:48:29 GMT 2020","Sun Nov 29 22:48:41 GMT 2020","11606","","","","","","6 Validate left menu -- @1.3 ",""
"passed","Sun Nov 29 22:48:38 GMT 2020","Sun Nov 29 22:48:45 GMT 2020","6736","","","","","","4 Validate left menu -- @1.4 ",""
"passed","Sun Nov 29 22:47:52 GMT 2020","Sun Nov 29 22:48:07 GMT 2020","14871","","","","","","6 Validate search",""
"passed","Sun Nov 29 22:46:31 GMT 2020","Sun Nov 29 22:47:05 GMT 2020","34126","","","","","","Invalid login - data table",""
"passed","Sun Nov 29 22:46:31 GMT 2020","Sun Nov 29 22:46:44 GMT 2020","13778","","","","","","1 Validate search",""
"passed","Sun Nov 29 22:46:42 GMT 2020","Sun Nov 29 22:46:50 GMT 2020","8009","","","","","","10 Validate left menu -- @1.1 ",""
"passed","Sun Nov 29 22:48:10 GMT 2020","Sun Nov 29 22:48:26 GMT 2020","16334","","","","","","4 Validate left menu -- @1.2 ",""
"passed","Sun Nov 29 22:46:30 GMT 2020","Sun Nov 29 22:46:44 GMT 2020","14513","","","","","","2 Validate search",""
"passed","Sun Nov 29 22:47:13 GMT 2020","Sun Nov 29 22:47:25 GMT 2020","12885","","","","","","Validate left menu -- @1.3 ",""
"passed","Sun Nov 29 22:48:13 GMT 2020","Sun Nov 29 22:48:21 GMT 2020","7422","","","","","","3 Validate left menu -- @1.4 ",""
"passed","Sun Nov 29 22:47:22 GMT 2020","Sun Nov 29 22:47:28 GMT 2020","6396","","","","","","10 Validate left menu -- @1.4 ",""
"passed","Sun Nov 29 22:48:41 GMT 2020","Sun Nov 29 22:48:47 GMT 2020","6356","","","","","","6 Validate left menu -- @1.4 ",""
"passed","Sun Nov 29 22:46:44 GMT 2020","Sun Nov 29 22:46:53 GMT 2020","8199","","","","","","1 Validate left menu -- @1.1 ",""
"passed","Sun Nov 29 22:49:12 GMT 2020","Sun Nov 29 22:49:14 GMT 2020","2557","","","","","","8 Validate left menu -- @1.4 ",""
"passed","Sun Nov 29 22:48:26 GMT 2020","Sun Nov 29 22:48:38 GMT 2020","11938","","","","","","4 Validate left menu -- @1.3 ",""
"passed","Sun Nov 29 22:48:10 GMT 2020","Sun Nov 29 22:48:18 GMT 2020","8438","","","","","","7 Validate left menu -- @1.1 ",""
"passed","Sun Nov 29 22:47:10 GMT 2020","Sun Nov 29 22:47:24 GMT 2020","14487","","","","","","2 Validate left menu -- @1.3 ",""
"passed","Sun Nov 29 22:48:04 GMT 2020","Sun Nov 29 22:48:14 GMT 2020","9055","","","","","","5 Validate left menu -- @1.1 ",""
"passed","Sun Nov 29 22:47:32 GMT 2020","Sun Nov 29 22:47:40 GMT 2020","7692","","","","","","2 Validate left menu -- @1.5 ",""
"passed","Sun Nov 29 22:48:07 GMT 2020","Sun Nov 29 22:48:14 GMT 2020","7292","","","","","","6 Validate left menu -- @1.1 ",""
"passed","Sun Nov 29 22:46:53 GMT 2020","Sun Nov 29 22:47:13 GMT 2020","20580","","","","","","1 Validate left menu -- @1.2 ",""
"passed","Sun Nov 29 22:47:34 GMT 2020","Sun Nov 29 22:47:45 GMT 2020","11131","","","","","","Validate left menu -- @1.5 ",""
"passed","Sun Nov 29 22:49:00 GMT 2020","Sun Nov 29 22:49:08 GMT 2020","7733","","","","","","9 Validate search",""
"passed","Sun Nov 29 22:49:14 GMT 2020","Sun Nov 29 22:49:17 GMT 2020","2594","","","","","","8 Validate left menu -- @1.5 ",""
"passed","Sun Nov 29 22:48:48 GMT 2020","Sun Nov 29 22:48:55 GMT 2020","7296","","","","","","7 Validate left menu -- @1.4 ",""
"passed","Sun Nov 29 22:47:28 GMT 2020","Sun Nov 29 22:47:36 GMT 2020","8148","","","","","","10 Validate left menu -- @1.5 ",""
"passed","Sun Nov 29 22:48:14 GMT 2020","Sun Nov 29 22:48:30 GMT 2020","16436","","","","","","5 Validate left menu -- @1.2 ",""
"passed","Sun Nov 29 22:48:47 GMT 2020","Sun Nov 29 22:48:55 GMT 2020","7503","","","","","","6 Validate left menu -- @1.5 ",""
"passed","Sun Nov 29 22:48:21 GMT 2020","Sun Nov 29 22:48:26 GMT 2020","5598","","","","","","3 Validate left menu -- @1.5 ",""
"passed","Sun Nov 29 22:48:36 GMT 2020","Sun Nov 29 22:48:48 GMT 2020","12071","","","","","","7 Validate left menu -- @1.3 ",""
"passed","Sun Nov 29 22:48:42 GMT 2020","Sun Nov 29 22:48:50 GMT 2020","7475","","","","","","5 Validate left menu -- @1.4 ",""
"passed","Sun Nov 29 22:49:07 GMT 2020","Sun Nov 29 22:49:12 GMT 2020","5294","","","","","","8 Validate left menu -- @1.3 ",""
"passed","Sun Nov 29 22:49:20 GMT 2020","Sun Nov 29 22:49:21 GMT 2020","1117","","","","","","9 Validate left menu -- @1.4 ",""
"passed","Sun Nov 29 22:47:14 GMT 2020","Sun Nov 29 22:47:28 GMT 2020","13551","","","","","","3 Validate search",""
"passed","Sun Nov 29 22:48:02 GMT 2020","Sun Nov 29 22:48:10 GMT 2020","7325","","","","","","4 Validate left menu -- @1.1 ",""
"passed","Sun Nov 29 22:46:30 GMT 2020","Sun Nov 29 22:46:42 GMT 2020","11904","","","","","","10 Validate search",""
"passed","Sun Nov 29 22:49:08 GMT 2020","Sun Nov 29 22:49:12 GMT 2020","3939","","","","","","9 Validate left menu -- @1.1 ",""
"passed","Sun Nov 29 22:46:53 GMT 2020","Sun Nov 29 22:47:13 GMT 2020","19586","","","","","","Validate left menu -- @1.2 ",""
"passed","Sun Nov 29 22:47:24 GMT 2020","Sun Nov 29 22:47:32 GMT 2020","8321","","","","","","2 Validate left menu -- @1.4 ",""
"passed","Sun Nov 29 22:47:13 GMT 2020","Sun Nov 29 22:47:26 GMT 2020","12380","","","","","","1 Validate left menu -- @1.3 ",""
"passed","Sun Nov 29 22:48:55 GMT 2020","Sun Nov 29 22:49:07 GMT 2020","11208","","","","","","8 Validate left menu -- @1.2 ",""
"passed","Sun Nov 29 22:48:45 GMT 2020","Sun Nov 29 22:48:53 GMT 2020","7949","","","","","","4 Validate left menu -- @1.5 ",""
"passed","Sun Nov 29 22:46:31 GMT 2020","Sun Nov 29 22:46:44 GMT 2020","12831","","","","","","Validate search",""
"passed","Sun Nov 29 22:48:18 GMT 2020","Sun Nov 29 22:48:36 GMT 2020","17509","","","","","","7 Validate left menu -- @1.2 ",""
"passed","Sun Nov 29 22:48:47 GMT 2020","Sun Nov 29 22:48:55 GMT 2020","8029","","","","","","8 Validate left menu -- @1.1 ",""
"passed","Sun Nov 29 22:47:33 GMT 2020","Sun Nov 29 22:47:42 GMT 2020","9121","","","","","","1 Validate left menu -- @1.5 ",""
"passed","Sun Nov 29 22:47:26 GMT 2020","Sun Nov 29 22:47:33 GMT 2020","7626","","","","","","1 Validate left menu -- @1.4 ",""
"passed","Sun Nov 29 22:46:50 GMT 2020","Sun Nov 29 22:47:09 GMT 2020","18541","","","","","","10 Validate left menu -- @1.2 ",""
"passed","Sun Nov 29 22:47:46 GMT 2020","Sun Nov 29 22:48:02 GMT 2020","16100","","","","","","4 Validate search",""
"passed","Sun Nov 29 22:47:59 GMT 2020","Sun Nov 29 22:48:13 GMT 2020","14530","","","","","","3 Validate left menu -- @1.3 ",""
"passed","Sun Nov 29 22:48:55 GMT 2020","Sun Nov 29 22:49:03 GMT 2020","7210","","","","","","7 Validate left menu -- @1.5 ",""
"passed","Sun Nov 29 22:47:50 GMT 2020","Sun Nov 29 22:48:04 GMT 2020","14373","","","","","","5 Validate search",""
"passed","Sun Nov 29 22:47:38 GMT 2020","Sun Nov 29 22:47:59 GMT 2020","20482","","","","","","3 Validate left menu -- @1.2 ",""
"passed","Sun Nov 29 22:49:18 GMT 2020","Sun Nov 29 22:49:20 GMT 2020","2491","","","","","","9 Validate left menu -- @1.3 ",""
"passed","Sun Nov 29 22:46:44 GMT 2020","Sun Nov 29 22:46:53 GMT 2020","9078","","","","","","Validate left menu -- @1.1 ",""
"passed","Sun Nov 29 22:47:09 GMT 2020","Sun Nov 29 22:47:22 GMT 2020","12859","","","","","","10 Validate left menu -- @1.3 ",""
"passed","Sun Nov 29 22:48:34 GMT 2020","Sun Nov 29 22:48:47 GMT 2020","13158","","","","","","8 Validate search",""
"passed","Sun Nov 29 22:48:30 GMT 2020","Sun Nov 29 22:48:42 GMT 2020","12190","","","","","","5 Validate left menu -- @1.3 ",""
"passed","Sun Nov 29 22:48:50 GMT 2020","Sun Nov 29 22:48:58 GMT 2020","8623","","","","","","5 Validate left menu -- @1.5 ",""
"passed","Sun Nov 29 22:49:12 GMT 2020","Sun Nov 29 22:49:18 GMT 2020","5858","","","","","","9 Validate left menu -- @1.2 ",""
